OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
Sox5	Elfn2	Fam53b	Per3	Cygb	Gsdmd
Cpxm1	Anks1b	Phactr1	Plxnb1	Grin1	Igsf6
Necab2	Tmem170	St6galnac3	Car8	Gnrh1	Itpripl1
Prkg1	Brdt	Coro2b	Bai3	Calb1	Man2b1
AF529169	Syt11	Degs1	Epb4.1l5	Scn9a	Siglec1
Mis18bp1	Zfp536	Adcy5	Pbxip1	Elmod1	Ppp1r3b
1810010H24Rik	Srcin1	Nipa1	Bdkrb2	Nxnl2	Ccl22
Chrm1	Sema4a	Pllp	Gm9766	Syn2	Ltf
Tshz3	Unc5c	Arhgap23	Fos	N28178	Ccdc162
Dlgap5	Stam	Phldb1	Irs2	A530058N18Rik	Sphk1
2410127L17Rik	Elavl3	Tmem159	Drp2	Mast1	Lgmn
Gjb2	Atp6v0a2	Dync1li2	Pard3b	Grid2ip	Tcirg1
Nrxn2	Deb1	Klhl35	Tmem229a	Runx1t1	Il7r
Bves	Phyhipl	Ptpdc1	Evc2	Pcdha6	1700003F12Rik
Troap	Fam83d	Rnf220	Rnf215	Fgf9	Folr2
Enpp1	Katnal1	Pcbp4	Gm10560	Hcn3	Zfp36
Hmmr	Rapgef1	Sepw1	Pdgfrb	Rbfox3	Ctse
Flrt1	Enpp4	Diras1	Ndp	D10Bwg1379e	Renbp
Tmie	Micall1	Mfsd3	Cml3	Mtus2	Sykb
Rasl12	Aldh3b1	Dcps	Npas2	Rgs11	Arl5c
Pter	Kcnj12	Wrap53	Prodh	Slc6a15	Plac8
Maneal	Hist1h2be	Dusp19	Cyp7b1	Unc5d	Bank1
Gria4	Mobp	Hist1h2bj	Npas3	Pcdha3	Il27
Ptprn	5330426P16Rik	Deb1	Mtl5	Sertad4	Cxcl2
Fam149a	1700021K19Rik	Rtkn2	Fam55d	Cntnap5c	Rassf5
Tmem132b	Spg20	Mgst3	Myh6	Ly6h	Apobec2
Myb	Sh3bp4	Hdac11	Fgd4	Nanos2	Tmem106a
Ptk7	Gamt	Trim13	Npff	Slc7a14	A830007P12Rik
Fbn1	Mtap1a	Cyth1	Efna4	2410066E13Rik	Slc16a10
Zfp462	Psat1	Enpp4	Lxn	Crabp2	Plekho2
Kcnd3	Cplx3	Sv2a	Appl2	Arx	Rhbdf2
Dscc1	Pcbp4	Adamts4	Ak4	Grm1	Fcgr4
Plk1	Jakmip3	Arpc1a	Camk2g	Cort	H2-Q1
Ltk	Fryl	Mon2	D130040H23Rik	Zdhhc22	Epsti1
Kctd4	Atcay	1110057K04Rik	Adra2a	Nap1l2	H2-Q2
Epdr1	1700112E06Rik	Ablim2	Slc9a3r1	Cck	Sh3bp1
Ednrb	Rgnef	Prrg1	Klf4	Pcp4	Naip5
Epb4.1	Ptpn11	Pea15a	Fgfr2	E130309D14Rik	Arhgap25
Ccna2	Entpd5	Acsl1	Etv4	Gpr21	Il4ra
Ankrd6	Tmem151a	Frmd5	Fam59b	Ccdc148	Spp1
Spire2	Setd8	Kif1a	Rasl11b	6330439K17Rik	Tcfec
6030405A18Rik	Add1	Entpd5	Abcb9	Scn3b	Tspan32
Cenpv	Ctps	Rph3a	Cideb	Rbms3	Entpd1
Dhrs13	Ncam1	Llgl1	Dmd	1600029O15Rik	Hfe
Cdc7	Klhl5	1810044D09Rik	Pou3f4	9130024F11Rik	Fcrl1
Pcdha11	Rbpjl	Sema4d	2810459M11Rik	Vwc2l	Gcnt1
Gabrb3	Plekhh1	Ebp	Tex9	Ccl27b	Fhod1
Ckap2	Gpr37	Rgnef	Glud1	Cnksr2	1700110I01Rik
Svep1	Dpy19l1	Pdk3	Mgst1	Vash2	Dnase1l3
Chpt1	Rap1gap	Prss12	Macf1	Islr	4833422F24Rik
Tceal3	Ptpn14	Piga	Nr4a3	Cacng5	Ifi30
Kif26b	Nkx6-2	Scrn1	5930412G12Rik	B4galnt4	Abca9
Kcnh5	Lss	C630043F03Rik	Sncaip	Uchl1	Hexa
Efs	Stk39	Ipo13	Tmem200c	Sgsm1	5430427O19Rik
Ak5	Ccnyl1	9930012K11Rik	Nrarp	Map3k15	Stat6
Prrx1	Fa2h	Camk2a	Fam84a	Ankrd45	4930404N11Rik
Acpl2	Ankrd23	Gcat	Ccdc3	Serpini1	Pdcd1
Foxm1	Ggct	Cyp51	Vav3	Trpv6	Psmb8
Rep15	Gsto2	Svip	Nek8	Nnmt	Tgfbi
Pou3f1	Bdh1	Guk1	9-Sep	Rgmb	Gm4980
1600021P15Rik	Peli1	5330426P16Rik	Nmb	4930539E08Rik	Fgr
Usp24	Amz1	Bnip3	Gpt	Krt73	Dnase2a
Psrc1	S100b	Lrrc28	Fgd6	Dnm1	Stab1
Sez6	Exog	Tsc22d4	Cecr2	Dgkg	Mybpc3
Igfbp3	Fktn	Gm10863	Cspp1	AI593442	Plekho1
Sh3d19	Slc25a29	Psat1	Fads2	Stmn3	Il1r2
Kctd15	Adam23	Jam3	Nckap5	Agbl4	Slc25a45
Ttk	Arpc1a	Gng7	Sh3pxd2b	Gda	Arhgap22
Abca8b	Hist1h2br	Rhog	Slc6a1	Prkar1b	Qprt
Hap1	Faah	1810020D17Rik	Fam69c	Cbln1	Clcf1
Afap1l2	Mcam	Capn5	C130071C03Rik	Frmpd3	Gm13889
Iglon5	Rnf144a	Aes	Stk38l	Klhdc8a	Sirpa
1-Mar	Zdhhc9	Ldlrap1	Gabbr2	Bsn	Nod2
Scfd2	Tbc1d8	Acaca	Pcdhgc5	Jph4	Nlrp1a
Gpr25	Stxbp3a	Mid1ip1	A930017M01Rik	AI836003	Limd2
Gas2	Clip3	Atp10b	Fgf2	Cd24a	Cd300lb
Sorcs1	Tgfa	Tpd52	Itga6	Epb4.9	Apobr
Arhgap10	Nt5e	Stx2	Adamts5	Lrfn5	Dok2
Itga9	Dock4	Pld6	Sox2	Stxbp1	Uba7
Cdc20	Aplp1	Hist1h2bg	Kcnc4	Kcnq2	Hpgds
Unc79	Mitf	Tmem205	Rassf10	Pcdha2	C1rl
Fam64a	2810405K02Rik	Farp2	Gm889	Camk2b	Tlr6
9930021D14Rik	Ly6g6d	Dixdc1	Zfp280c	Nov	Arl4c
Prim1	Apbb1	Ywhaq	Leng8	Nts	Tspan33
Robo1	Rtn4	Cyb5r3	AA387883	Cntn3	Dusp27
Gpnmb	Mtap	8-Mar	Pld2	Klhl29	Cybb
Lrrtm2	Zfp276	Ilvbl	Ptn	Adra2c	Serpinf1
Ngb	Man1a2	Slc35a2	1700019G17Rik	Gm5424	Guca1a
Lrrn1	Prkcz	Ralgds	Adamts3	Pnma2	B4galt1
Fhl2	Snx22	Ptgds	Dock7	Syt17	Rilpl2
Ehd3	Nudt4	4933431E20Rik	Sfxn2	Sncb	Il17ra
Pgcp	Sox6	Ell2	Gyk	Pgm2l1	Slc17a9
Cdc6	Atat1	Ptprd	4930565N06Rik	Tmem169	Hp
Dmrtb1	Pcyt2	Calm3	Il18	Fstl4	Gmip
D2Ertd750e	Mtmr10	Gstm5	Rb1	Sema6c	Glrp1
Bmp7	Dcbld2	1110007C09Rik	Srebf1	Radil	C2
Bean1	Hist1h2bn	Glod4	Gpr63	Pde1a	Hpn
Arhgap24	Pld1	Cdc42ep1	Fndc5	Mical2	Pnpla7
Cyp2j9	Smad7	Ankrd13b	Plce1	Ufsp1	Zfhx3
Frmd3	Acap3	Ankrd40	Ptplb	Tcerg1l	Cd4
Chadl	Dusp19	Hist2h3b	Nr4a1	Sstr2	Lbx2
Tpm1	Ttc39c	Rbm11	Mll3	Tmem63c	Tnfsf14
Plscr4	Arhgap23	Pip4k2a	Pygb	Celf3	H2-K2
Wbscr17	Specc1	Stard10	Phf21b	Lonrf2	Lcp2
Chrm2	Man1c1	Ccnyl1	Fezf2	Has3	Icam1
S100a16	Zeb2	Ank	2900092D14Rik	Syt3	Cyba
Pcdhac1	Spnb1	Mtap7d1	Cpe	Fam163b	H2-Q7
E130114P18Rik	Tmbim1	Slc6a9	2810405F15Rik	Zfp385b	Cd22
S1pr2	Tmem14a	Acot6	Igfbp5	Rab6b	Msr1
Cdh13	Epb4.1l4b	Ptpla	Spag5	Cadps	Mobkl2c
Lpl	Npr2	Rap1a	Atl2	Sdk2	Ticam1
Mcm2	Slc27a4	Cyb5d2	Bmpr1a	Rai2	Cables1
Tnr	Tmcc3	Peg12	Dlg5	Scrt1	Txnip
Rnf150	6030405A18Rik	Hist1h1c	Il15ra	Adcy1	Evi2b
Mtss1l	Ctsk	Stac2	Zfp870	Shank1	Osgin1
Has2	Vcan	1810037I17Rik	Rbm20	Vsnl1	Hspa1a
Kif11	Dgat2	St3gal4	Herc6	Unc13a	Sqrdl
Tox3	Cdh13	Dock10	Gm13698	Tmem145	Slco2b1
Mxd3	1810058I24Rik	Mvk	Ccdc157	Eya2	Ripk3
BC068157	Ywhaq	Zdhhc12	Atp2b4	Dusp14	Clec5a
Kif22	Map4k4	Asah2	Trpm3	Nsg1	Cd80
1700066M21Rik	Gtf2h1	Tmeff1	Slc20a1	Dlg2	F630110N24Rik
B3gnt5	Utp14b	Urm1	Hoga1	Dnajc6	Nab2
Rad51	Csad	Me1	Gm13696	Mgat4c	Calhm2
Scrg1	Ypel2	Mpst	Atxn7	Cgn	Ctsa
Mcm10	H2-Ab1	Pmvk	Tead1	Slit1	Sox15
Shc2	Cdyl	Pvrl1	Gm13695	Frmpd4	Cotl1
