OPC	NFOL	MOL	Astrocyte	Neuron	Microglia
Pcdh20	Rnf122	Dock5	Crb2	Stmn2	Kcnk6
Mc5r	Rnf128	B3galt5	Sypl2	Plek2	C3ar1
Tmem200b	Sema3d	Tprn	1700084C01Rik	Syt1	Tyrobp
Slc24a4	8-Mar	A930003A15Rik	Vcam1	Barhl2	Gp9
Ascl1	Rhbdl2	Larp6	Ttpa	Crhbp	Cd300lf
Tbx18	Mycl1	Tmeff2	Pm20d1	Abcc8	Ang
Lox	Rtkn2	Aplp1	Adhfe1	Gm14204	Fgd2
Sorcs3	Plp1	Pigz	Rorb	Fibcd1	Ccl2
Rprm	Cnksr3	Fbxo36	2900005J15Rik	Gad2	Pik3ap1
Itga8	Ppp1r16b	Mag	Daam2	Cpne7	Fcgr3
Sntg1	Igsf9b	Ppap2c	Tmem82	Penk	Ch25h
Adam12	Ick	Galnt6	Rgs20	Hs6st3	BC013712
Mmp16	Parvb	1190007F08Rik	Abcd2	Tubb3	Ccr1
Tmem132d	Strn	Slc48a1	Lrig1	Rian	Il21r
Rasgrf1	D630045J12Rik	Tnni1	Gm266	Kcnc2	Cxcl16
Hrasls	Neurog2	Kif5a	Slc7a11	Vgf	Rac2
Kcnip3	Kazn	Inf2	Cldn10	Mirg	Nfam1
6330406I15Rik	Neu4	Wnt3	Fam20a	Htr3a	Alox5ap
A230077H06Rik	Cpox	Slain1	Ranbp3l	Bcl11b	Tnfaip8l2
Susd5	Tubb4	Nkain1	Elovl2	Syt4	Ccdc88b
Igf2	Abtb2	Gss	Palld	Cdh8	Susd3
Tmem196	Omp	Srd5a1	Slc2a10	Kctd8	Fcna
B3gnt7	Fbxo32	Bace2	Igsf1	Drd2	Asb2
3110035E14Rik	Thsd4	Stmn4	Aass	Gpr12	Nfkbid
Cntn6	Ugt8a	AI848285	Slc25a18	Samd3	Myo1f
Lrrtm4	Fam3c	Lgi3	Sfrp5	Insm2	Arhgap9
Tmem132c	Syde2	Padi2	F3	Fam131c	Emr1
Lmo1	Sema4d	Nkain2	Fabp7	Elavl2	Parvg
Sox3	Plekha1	Scd1	B230209K01Rik	Trank1	Ccl7
Slitrk3	Col9a1	Ctnna3	Fgfbp3	Synpr	Cd74
Xylt1	Hr	Adi1	Emp2	Fam183b	Card9
Tmem100	Atp7b	Rftn1	Pdk4	Ccbe1	Pla2g15
Csmd3	Mag	Ccdc13	Acsbg1	Celsr3	Ncf2
Cp	Itpr2	Plp1	Kcne1l	Galntl6	Plau
Dll1	Susd4	Efnb3	Ncan	Lrrc3b	Nckap1l
Dpp6	Frmd4a	Adamts2	Igfbp2	Bmp5	Ccr5
Gpt2	Sema4f	Fah	Cd44	BC005764	Lyz2
Ntn1	Lgi3	S100b	1500002O10Rik	Ndst4	Fam167b
Snx22	Sytl2	2700046A07Rik	Greb1	Cd274	Fcer1g
Cntn1	Ctnnal1	Nrtn	Gpc4	E330013P04Rik	Il12b
Gabra3	Eml1	Map6d1	Hes5	Crh	Slamf9
Lgr5	Gm10863	Endod1	Slc1a2	Igsf9	Ms4a6d
Accn4	Il12rb1	Kcna1	Tlcd1	Kcnb2	Fcgr2b
Slc6a19	Tmem40	Ctsk	Thbs1	Stk32b	Ccl24
Dbc1	B3gnt9-ps	Nmral1	Dzip1l	Xkr7	Tnni2
Pstpip2	Gng4	Cacna2d4	AI507597	Slc17a8	Siglech
Ugdh	Aspdh	Micall1	LOC433374	Cpne5	Angptl7
Lypd6	Rab33a	Hist1h2be	Gfap	6430598A04Rik	Cd209f
Lrfn2	Slc22a21	Gal3st1	Ezr	Neurod1	Psd4
Vipr2	AI414108	Adap1	Loxl1	Th	Pik3r5
Pid1	Sox2ot	Fez1	Lipg	Crmp1	Csf2rb
Grin3a	Arhgef10	Rapgef4	Tst	Mme	Cx3cr1
Ifit2	Ddc	Myo1d	Ppap2b	Amy1	Clec4n
Gsx2	Mx2	4932441J04Rik	Slc13a5	Myt1l	H2-DMb1
1700086L19Rik	Mobkl2b	Dapk2	Rfx4	Ndrg4	Was
Lrrtm1	Aatk	Mapk8ip1	Grin2c	Necab1	Inpp5d
Sdc3	1700001P01Rik	Lass2	Slc13a3	Ina	Ugt1a7c
C430049B03Rik	Tspan15	Sgk2	Elf5	Rgs8	Lrmp
Clec3b	Dhh	Hcn2	Fjx1	Sphkap	Cd86
Sgcz	En2	Ugt8a	Fras1	Cpne4	Tnfrsf1b
A430107O13Rik	Secisbp2l	Gm15417	Megf10	3110047P20Rik	Arl11
Gucy2f	Map6d1	Acot7	Slc27a1	Calb2	Wdfy4
Ankfn1	Prima1	Sftpc	2810055G20Rik	2410076I21Rik	P2ry13
Me3	Cdv3	4933413G19Rik	Lrrc23	Gap43	Plcb2
Galnt13	Slc22a23	Hs3st1	Pla2g7	Ajap1	Irf4
Ryr3	Plekhg3	Pex5l	Mfge8	Casz1	Tnfrsf17
Emb	Tyro3	Adam19	Gabrb1	Cacng2	Batf
S100a4	Tnni1	Barx2	Ccno	Kcnip4	Lefty1
Grik4	Grik3	Tmbim1	Pax6	Eomes	Capn3
Alas2	Glrb	Tspan17	Rdh5	Dmrt3	Cd33
Tmem132e	2610035D17Rik	Tbc1d9b	Cyp4f14	2700090O03Rik	Hcls1
Caskin2	Ng23	Hist1h4c	Hsd11b1	Prokr2	Unc93b1
LOC100616095	Tmem125	Tspan2	Adora2b	Epha6	Cst7
Ppp4r4	5730559C18Rik	Agpat4	Alpk3	Scg2	Runx1
Rab27b	Tmem141	Dnajb2	Gm17455	Adcyap1	Cyth4
9930013L23Rik	Snx30	Prima1	Folh1	Thsd7b	Zc3h12a
Calcrl	Nipal4	Hist1h4i	Btbd17	Ablim3	Arhgap4
Krt1	Bace1	Hist1h1e	Vit	Gpr22	Hexb
Scn1a	Ppp2r3a	Gstp1	Alpl	Chrm3	Tmem52
Lbh	Inppl1	Csrp1	Ltbp1	Gabrg2	Lpcat2
Gfra2	Chadl	Gm13293	Lcat	Lhx9	P2rx1
Spon1	Barx2	Acss2	Ngef	Isl1	Lst1
Tacc2	Ddr1	Hhatl	Gpam	Fam196a	Ms4a6c
Vcan	Gjc2	Abca2	Agt	Kcnmb2	Ms4a6b
1700019D03Rik	Elovl6	Npb	Mylk2	Rims3	5031414D18Rik
Fam89a	Bace2	Car2	AW011738	Nr2f2	Mgl2
Kcnj16	5-Sep	1700001P01Rik	Olfml1	Ache	Icosl
Fam70a	Gltp	Gas7	Raver2	Zic4	Ccl6
Sgcd	Pla2g4a	Gpr15	Erbb2	Car10	H2-Eb1
Cspg5	Dynll2	Hist1h2bc	3930402G23Rik	Gpr26	Il1a
Vstm2b	Zdhhc14	Il12rb1	Muc1	Wscd2	Ms4a7
Cntnap5b	Ptpro	Rab33a	Arhgef26	Atp1a3	Fam26f
Accn2	Pex5l	Tubb4	3110082D06Rik	Rtbdn	Tnfaip2
Mybl1	Ptprd	Rtkn	Dbx2	Rem2	Rab20
Lpo	Adam11	Ephb1	Nat1	Slc6a7	Lpxn
B3gat2	Prkcq	Pacs2	Hapln1	Epha8	Hvcn1
Xkr5	Enpp2	Ly6g6f	4932438H23Rik	Gad1	Mpeg1
Isg20	Ppfibp2	Plekhg3	Amot	Usp29	Lpar5
St8sia1	2310042D19Rik	Xrcc3	Aox1	Cyp4x1	Pf4
D330050G23Rik	4732418C07Rik	Pde8a	Cyp1b1	Gjd2	Il16
Elfn1	Pacs2	Srcin1	Ggnbp1	Nrn1	H2-DMb2
